SL No.,NDVI,LST,BURNED_AREA,1 Occurrence
1,0.506782,14584.27273,4.692308,0
2,0.52215,14655.83333,5,0
3,0.682284,14780,5,1
4,0.120046,13298.5,3.5,0
5,0.568734,14743,5,0
6,0.454228,14929.57143,4.904762,1
7,0.508299,14333.375,4.976563,1
8,0.519243,14738,5,1
9,0.696477,14658,3,0
10,0.57501,15169.19048,4.809524,0
11,0.433218,14721.12785,4.433486,0
12,0.631009,14564.07692,4.915094,0
13,0.635615,14734.33769,4.496235,1
14,0.608305,14512.5,4,0
15,0.596891,14336.14151,4.716981,0
16,0.339097,14159.75,5,0
17,0.569658,14462,3,1
18,0.502957,15302,5,0
19,0.506682,14724.46825,4.984375,1
20,0.64064,14349.68,4.62029,1
21,0.6191,14285,5,0
22,0.560908,14977.85294,5,0
23,0.44088,14745.96457,4.574194,1
24,0.579521,15032.13433,4.983051,0
25,0.421213,15420.66384,4.749247,1
26,0.486325,15022.95833,3.862069,1
27,0.686572,14139,5,0
28,0.634834,14690.5971,4.298551,0
29,0.614242,14445.5,5,0
30,0.525014,14660,3,0
31,0.575182,14763.5,4.676056,1
32,0.43879,15208.23077,4.4,1
33,0.5545,14213,5,0
34,0.540683,14900.29452,4.898305,0
35,0.532021,15293.35294,5,0
36,0.656264,14546,5,0
37,0.594663,14151.5,3,0
38,0.588483,14772.21888,5.025424,0
39,0.675575,15033.5,5,0
40,0.556863,14808,5,0
41,0.546875,14584.16279,4.348837,0
42,0.533645,15090.85714,5,0
43,0.688404,14835,5,0
44,0.603207,14985,5,0
45,0.638939,14668.5,5,1
46,0.425514,14507,5,0
47,0.600452,14997.39623,4.792453,0
48,0.563287,14281.91824,4.932079,0
49,0.482204,15368.72642,4.716981,1
50,0.563287,14673.4902,4.882353,0
51,0.543882,15283,5,0
52,0.602972,14809.31579,5,0
53,0.638503,15075.07547,4.716981,0
54,0.588702,13699.44737,4.385744,0
55,0.713023,14932.36364,5,0
56,0.472832,14345,5,0
57,0.717785,15054,5,0
58,0.373782,15151.63636,5,0
59,0.359946,15359.27273,5,0
60,0.6927,14572,5,0
61,0.596961,14509,5,0
62,0.522106,14369,4.888889,1
63,0.602314,14659.93443,4.879781,0
64,0.534302,14682.6875,5,0
65,0.521693,15138.23529,5,0
66,0.58055,15107.5,5,0
67,0.57065,14793.56,5,0
68,0.672834,14626,5,0
69,0.586997,13920,5,0
70,0.471685,14739,4,0
71,0.628291,14918.68868,4.764151,0
72,0.63684,14884.68945,4.746235,1
73,0.577265,13837.24,4.773585,0
74,0.519172,15033,5,0
75,0.502624,14229.5,5,0
76,0.62055,14666.29032,4.651163,0
77,0.667647,15085,5,0
78,0.636119,14871,5,0
79,0.571949,15281.85714,4.802817,1
80,0.614769,14990.62791,4.627907,1
81,0.472933,14929.75,4,1
82,0.633808,14690.8835,4.868421,0
83,0.578655,13747.13044,4.339623,0
84,0.424832,14983.8871,4.498494,1
85,0.092547,13486,4,0
86,0.573026,14721,5,0
87,0.444346,15193.15165,4.915254,0
88,0.600845,14785,5,0
89,0.474726,14694.59397,4.872979,1
90,0.611728,14915,5,1
91,0.630937,14534.51443,4.663173,0
92,0.673342,14841,3,0
93,0.629026,13911,4.880952,0
94,0.617781,14934,5,1
95,0.433112,14687.376,5,0
96,0.490881,15115.66667,4.5,0
97,0.500597,14772.20833,5,0
98,0.593139,14617.83333,5,0
99,0.565399,14385.57143,5,0
100,0.434679,15065.2,5,0
101,0.525336,14971.16667,4.888889,0
102,0.66026,14464.44444,4.888889,0
103,0.685019,14604,5,1
104,0.503555,15338.56522,4.982609,0
105,0.601725,14856.18182,5,0
106,0.591912,14903,4,0
107,0.57594,15109,5,0
